Column 1,Column 2
Bushey North,E05004753
Bushey Park,E05004754
Bushey St. James,E05004755
Elstree,E05004756
Potters Bar Furzefield,E05004757
Potters Bar Oakmere,E05004758
Potters Bar Parkfield,E05004759
Shenley,E05004760
Arbury,E05004761
Baldock East,E05004762
Baldock Town,E05004763
Cadwell,E05004764
Chesfield,E05004765
Codicote,E05004766
Ermine,E05004767
Hitchin Bearton,E05004768
Hitchin Highbury,E05004769
Hitchin Oughton,E05004770
Hitchin Priory,E05004771
Hitchin Walsworth,E05004772
"Hitchwood, Offa and Hoo Ward",E05004773
Kimpton,E05004774
Knebworth,E05004775
Letchworth East,E05004776
Letchworth Grange,E05004777
Letchworth South East,E05004778
Letchworth South West,E05004779
Letchworth Wilbury,E05004780
Royston Heath,E05004781
Royston Meridian,E05004782
Royston Palace,E05004783
Weston and Sandon,E05004784
Ashley,E05004785
Batchwood,E05004786
Clarence,E05004787
Cunningham,E05004789
Harpenden East,E05004790
Harpenden North,E05004791
Harpenden South,E05004792
Harpenden West,E05004793
London Colney,E05004794
Marshalswick North,E05004795
Marshalswick South,E05004796
Park Street,E05004797
Redbourn,E05004798
St. Peters,E05004799
St. Stephen,E05004800
Sandridge,E05004801
Sopwell,E05004802
Verulam,E05004803
Wheathampstead,E05004804
Bandley Hill,E05004805
Bedwell,E05004806
Chells,E05004807
Longmeadow,E05004808
Manor,E05004809
Martins Wood,E05004810
Old Town,E05004811
Pin Green,E05004812
Roebuck,E05004813
St. Nicholas,E05004814
Shephall,E05004815
Symonds Green,E05004816
Woodfield,E05004817
Abbots Langley,E05004818
Ashridge,E05004819
Bedmond & Primrose Hill,E05004820
Carpenders Park,E05004821
Chorleywood East,E05004822
Chorleywood West,E05004823
Croxley Green,E05004824
Croxley Green North,E05004825
Croxley Green South,E05004826
Hayling,E05004827
Langleybury,E05004828
Leavesden,E05004829
Maple Cross & Mill End,E05004830
Moor Park & Eastbury,E05004831
Northwick,E05004832
Oxhey Hall,E05004833
Penn,E05004834
Rickmansworth,E05004835
Rickmansworth West,E05004836
Sarratt,E05004837
Callowland,E05004838
Central,E05004839
Holywell,E05004840
Leggatts,E05004841
Meriden,E05004842
Nascot,E05004843
Oxhey,E05004844
Park,E05004845
Stanborough,E05004846
Tudor,E05004847
Vicarage,E05004848
Woodside,E05004849
Brookmans Park and Little Heath,E05004850
Haldens,E05004851
Handside,E05004852
Hatfield Central,E05004853
Hatfield East,E05004854
Hatfield South,E05004855
Hatfield Villages,E05004856
Hatfield West,E05004857
Hollybush,E05004858
Howlands,E05004859
Northaw and Cuffley,E05004860
Panshanger,E05004861
Peartree,E05004862
Sherrards,E05004863
Welwyn East,E05004865
Welwyn West,E05004866
Aylesford Green,E05004867
Beaver,E05004868
Biddenden,E05004869
Bockhanger,E05004870
Boughton Aluph and Eastwell,E05004871
Bybrook,E05004872
Charing,E05004873
Downs North,E05004874
Downs West,E05004875
Godinton,E05004876
Great Chart With Singleton North,E05004877
Highfield,E05004878
Isle of Oxney,E05004879
Kennington,E05004880
Little Burton Farm,E05004881
Norman,E05004882
North Willesborough,E05004883
Park Farm North,E05004884
Park Farm South,E05004885
Rolvenden and Tenterden West,E05004886
St. Michaels,E05004887
Saxon Shore,E05004888
Singleton South,E05004889
South Willesborough,E05004890
Stanhope,E05004891
Stour,E05004892
Tenterden North,E05004893
Tenterden South,E05004894
Victoria,E05004895
Washford,E05004896
Weald Central,E05004897
Weald East,E05004898
Weald North,E05004899
Weald South,E05004900
Wye,E05004901
Barham Downs,E05004902
Barton,E05004903
Blean Forest,E05004904
Chartham and Stone Street,E05004905
Chestfield and Swalecliffe,E05004906
Gorrell,E05004907
Greenhill and Eddington,E05004908
Harbledown,E05004909
Harbour,E05004910
Herne and Broomfield,E05004911
Heron,E05004912
Little Stour,E05004913
Marshside,E05004914
North Nailbourne,E05004915
Northgate,E05004916
Reculver,E05004917
St. Stephens,E05004918
Seasalter,E05004919
Sturry North,E05004920
Sturry South,E05004921
Tankerton,E05004922
West Bay,E05004923
Westgate,E05004924
Wincheap,E05004925
Bean and Darenth,E05004926
Brent,E05004927
Castle,E05004928
Greenhithe,E05004929
Heath,E05004930
Joyce Green,E05004931
Joydens Wood,E05004932
Littlebrook,E05004933
"Longfield, New Barn and Southfleet Ward",E05004934
Newtown,E05004935
Princes,E05004936
Stone,E05004937
Sutton-at-Hone and Hawley,E05004938
Swanscombe,E05004939
Town,E05004940
West Hill,E05004941
Wilmington,E05004942
Aylesham,E05004943
Buckland,E05004944
Capel-le-Ferne,E05004945
Castle,E05004946
Eastry,E05004947
Eythorne and Shepherdswell,E05004948
Little Stour and Ashstone,E05004949
Lydden and Temple Ewell,E05004950
"Maxton, Elms Vale and Priory Ward",E05004951
Middle Deal and Sholden,E05004952
Mill Hill,E05004953
North Deal,E05004954
Ringwould,E05004955
River,E05004956
St. Margaret's-at-Cliffe,E05004957
St. Radigunds,E05004958
Sandwich,E05004959
Tower Hamlets,E05004960
Town and Pier,E05004961
Walmer,E05004962
Whitfield,E05004963
Central,E05004964
Chalk,E05004965
Coldharbour,E05004966
Higham,E05004967
Istead Rise,E05004968
Meopham North,E05004969
Meopham South and Vigo,E05004970
Northfleet North,E05004971
Northfleet South,E05004972
Painters Ash,E05004973
Pelham,E05004974
Riverside,E05004975
Riverview,E05004976
"Shorne, Cobham and Luddesdown Ward",E05004977
Singlewell,E05004978
Westcourt,E05004979
Whitehill,E05004980
Woodlands,E05004981
Allington,E05004982
Barming,E05004983
Bearsted,E05004984
Boughton Monchelsea and Chart Sutton,E05004985
Boxley,E05004986
Bridge,E05004987
Detling and Thurnham,E05004989
Downswood and Otham,E05004990
East,E05004991
Fant,E05004992
Harrietsham and Lenham,E05004993
Headcorn,E05004994
Heath,E05004995
High Street,E05004996
Leeds,E05004997
Marden and Yalding,E05004999
North,E05005000
North Downs,E05005001
Park Wood,E05005002
Shepway North,E05005003
Shepway South,E05005004
Staplehurst,E05005006
Sutton Valence and Langley,E05005007
Ash and New Ash Green,E05005008
"Brasted, Chevening and Sundridge Ward",E05005009
Cowden and Hever,E05005010
Crockenhill and Well Hill,E05005011
Dunton Green and Riverhead,E05005012
Edenbridge North and East,E05005013
Edenbridge South and West,E05005014
Eynsford,E05005015
"Farningham, Horton Kirby and South Darenth Ward",E05005016
Fawkham and West Kingsdown,E05005017
"Halstead, Knockholt and Badgers Mount Ward",E05005018
Hartley and Hodsoll Street,E05005019
Hextable,E05005020
Kemsing,E05005021
Leigh and Chiddingstone Causeway,E05005022
Otford and Shoreham,E05005023
"Penshurst, Fordcombe and Chiddingstone Ward",E05005024
Seal and Weald,E05005025
Sevenoaks Eastern,E05005026
Sevenoaks Kippington,E05005027
Sevenoaks Northern,E05005028
Sevenoaks Town and St. John's,E05005029
Swanley Christchurch and Swanley Village,E05005030
Swanley St. Mary's,E05005031
Swanley White Oak,E05005032
Westerham and Crockham Hill,E05005033
Dymchurch and St. Mary's Bay,E05005034
Elham and Stelling Minnis,E05005035
Folkestone Cheriton,E05005036
Folkestone East,E05005037
Folkestone Foord,E05005038
Folkestone Harbour,E05005039
Folkestone Harvey Central,E05005040
Folkestone Harvey West,E05005041
Folkestone Morehall,E05005042
Folkestone Park,E05005043
Folkestone Sandgate,E05005044
Hythe Central,E05005045
Hythe East,E05005046
Hythe West,E05005047
Lydd,E05005048
Lympne and Stanford,E05005049
New Romney Coast,E05005050
New Romney Town,E05005051
North Downs East,E05005052
North Downs West,E05005053
Romney Marsh,E05005054
Tolsford,E05005055
Abbey,E05005056
Borden,E05005057
Boughton and Courtenay,E05005058
Chalkwell,E05005059
Davington Priory,E05005060
East Downs,E05005061
Grove,E05005062
"Hartlip, Newington and Upchurch Ward",E05005063
Iwade and Lower Halstow,E05005064
Kemsley,E05005065
Leysdown and Warden,E05005066
Milton Regis,E05005067
Minster Cliffs,E05005068
Murston,E05005069
Queenborough and Halfway,E05005070
Roman,E05005071
St. Ann's,E05005072
St. Michaels,E05005073
Sheerness East,E05005074
Sheerness West,E05005075
Sheppey Central,E05005076
Teynham and Lynsted,E05005077
Watling,E05005078
West Downs,E05005079
Woodstock,E05005080
Beacon Road,E05005081
Birchington North,E05005082
Birchington South,E05005083
Bradstowe,E05005084
Central Harbour,E05005085
Cliffsend and Pegwell,E05005086
Cliftonville East,E05005087
Cliftonville West,E05005088
Dane Valley,E05005089
Eastcliff,E05005090
Garlinge,E05005091
Kingsgate,E05005092
Margate Central,E05005093
Nethercourt,E05005094
Newington,E05005095
Northwood,E05005096
St. Peters,E05005097
Salmestone,E05005098
Sir Moses Montefiore,E05005099
Thanet Villages,E05005100
Viking,E05005101
Westbrook,E05005102
Westgate-on-Sea,E05005103
Aylesford,E05005104
Blue Bell Hill and Walderslade,E05005105
Borough Green and Long Mill,E05005106
"Burham, Eccles and Wouldham Ward",E05005107
Cage Green,E05005108
Castle,E05005109
Downs,E05005111
East Malling,E05005112
East Peckham and Golden Green,E05005113
"Hadlow, Mereworth and West Peckham Ward",E05005114
Higham,E05005115
Hildenborough,E05005116
Ightham,E05005117
Judd,E05005118
Kings Hill,E05005119
Larkfield South,E05005121
Medway,E05005122
Snodland East,E05005123
Snodland West,E05005124
Trench,E05005125
Vauxhall,E05005126
Wateringbury,E05005127
West Malling and Leybourne,E05005128
Wrotham,E05005129
Benenden and Cranbrook,E05005130
Brenchley and Horsmonden,E05005131
Broadwater,E05005132
Capel,E05005133
Culverden,E05005134
Frittenden and Sissinghurst,E05005135
Goudhurst and Lamberhurst,E05005136
Hawkhurst and Sandhurst,E05005137
Paddock Wood East,E05005138
Paddock Wood West,E05005139
Pantiles and St. Mark's,E05005140
Park,E05005141
Pembury,E05005142
Rusthall,E05005143
St. James',E05005144
St. John's,E05005145
Sherwood,E05005146
Southborough and High Brooms,E05005147
Southborough North,E05005148
Speldhurst and Bidborough,E05005149
Bank Hall,E05005150
Briercliffe,E05005151
Brunshaw,E05005152
Cliviger with Worsthorne,E05005153
Coal Clough with Deerplay,E05005154
Daneshouse with Stoneyholme,E05005155
Gannow,E05005156
Gawthorpe,E05005157
Hapton with Park,E05005158
Lanehead,E05005159
Queensgate,E05005160
Rosegrove with Lowerhouse,E05005161
Rosehill with Burnley Wood,E05005162
Trinity,E05005163
Whittlefield with Ightenhill,E05005164
Adlington and Anderton,E05005165
Astley and Buckshaw,E05005166
Brindle and Hoghton,E05005167
Chisnall,E05005168
Chorley East,E05005169
Chorley North East,E05005170
Chorley North West,E05005171
Chorley South East,E05005172
Chorley South West,E05005173
Clayton-le-Woods and Whittle-le-Woods,E05005174
Clayton-le-Woods North,E05005175
Clayton-le-Woods West and Cuerden,E05005176
Coppull,E05005177
Eccleston and Mawdesley,E05005178
Euxton North,E05005179
Euxton South,E05005180
Heath Charnock and Rivington,E05005181
Lostock,E05005182
Pennine,E05005183
Wheelton and Withnell,E05005184
Ansdell,E05005185
Ashton,E05005186
Central,E05005187
Clifton,E05005188
Elswick and Little Eccleston,E05005189
Fairhaven,E05005190
Freckleton East,E05005191
Freckleton West,E05005192
Heyhouses,E05005193
Kilnhouse,E05005194
Kirkham North,E05005195
Kirkham South,E05005196
Medlar-with-Wesham,E05005197
Newton and Treales,E05005198
Park,E05005199
Ribby-with-Wrea,E05005200
St. Johns,E05005201
St. Leonards,E05005202
Singleton and Greenhalgh,E05005203
Staining and Weeton,E05005204
Warton and Westby,E05005205
Altham,E05005206
Barnfield,E05005207
Baxenden,E05005208
Central,E05005209
Church,E05005210
Clayton-le-Moors,E05005211
Huncoat,E05005212
Immanuel,E05005213
Milnshaw,E05005214
Netherton,E05005215
Overton,E05005216
Peel,E05005217
Rishton,E05005218
St. Andrew's,E05005219
St. Oswald's,E05005220
Spring Hill,E05005221
Bare,E05005222
Bolton-le-Sands,E05005223
Bulk,E05005224
Carnforth,E05005225
Castle,E05005226
Duke's,E05005227
Ellel,E05005228
Halton-with-Aughton,E05005229
Harbour,E05005230
Heysham Central,E05005231
Heysham North,E05005232
Heysham South,E05005233
John O'Gaunt,E05005234
Kellet,E05005235
Lower Lune Valley,E05005236
Overton,E05005237
Poulton,E05005238
Scotforth East,E05005239
Scotforth West,E05005240
Silverdale,E05005241
Skerton East,E05005242
Skerton West,E05005243
Slyne-with-Hest,E05005244
Torrisholme,E05005245
University,E05005246
Upper Lune Valley,E05005247
Warton,E05005248
Westgate,E05005249
Barrowford,E05005250
Blacko and Higherford,E05005251
Boulsworth,E05005252
Bradley,E05005253
Brierfield,E05005254
Clover Hill,E05005255
Coates,E05005256
Craven,E05005257
Higham and Pendleside,E05005260
Horsfield,E05005261
Marsden,E05005262
Old Laund Booth,E05005263
Reedley,E05005264
Southfield,E05005265
Vivary Bridge,E05005266
Walverden,E05005267
Waterside,E05005268
Whitefield,E05005269
Ashton,E05005270
Brookfield,E05005271
Cadley,E05005272
College,E05005273
Deepdale,E05005274
Fishwick,E05005275
Garrison,E05005276
Greyfriars,E05005277
Ingol,E05005278
Larches,E05005279
Lea,E05005280
Moor Park,E05005281
Preston Rural East,E05005282
Preston Rural North,E05005283
Ribbleton,E05005284
Riversway,E05005285
St. George's,E05005286
St. Matthew's,E05005287
Sharoe Green,E05005288
Town Centre,E05005289
Tulketh,E05005290
University,E05005291
"Aighton, Bailey and Chaigley Ward",E05005292
Alston and Hothersall,E05005293
Billington and Old Langho,E05005294
"Bowland, Newton and Slaidburn Ward",E05005295
Chatburn,E05005296
Chipping,E05005297
Clayton-le-Dale with Ramsgreave,E05005298
Derby and Thornley,E05005299
Dilworth,E05005300
Edisford and Low Moor,E05005301
"Gisburn, Rimington Ward",E05005302
Langho,E05005303
Littlemoor,E05005304
Mellor,E05005305
Primrose,E05005306
Read and Simonstone,E05005307
Ribchester,E05005308
Sabden,E05005309
St. Mary's,E05005310
Salthill,E05005311
Waddington and West Bradford,E05005312
Whalley,E05005313
Wilpshire,E05005314
Wiswell and Pendleton,E05005315
Cribden,E05005316
Eden,E05005317
Facit and Shawforth,E05005318
Goodshaw,E05005319
Greenfield,E05005320
Greensclough,E05005321
Hareholme,E05005322
Healey and Whitworth,E05005323
Helmshore,E05005324
Irwell,E05005325
Longholme,E05005326
Stacksteads,E05005327
Whitewell,E05005328
Worsley,E05005329
Bamber Bridge East,E05005330
Bamber Bridge North,E05005331
Bamber Bridge West,E05005332
Broad Oak,E05005333
Charnock,E05005334
Coupe Green and Gregson Lane,E05005335
Earnshaw Bridge,E05005336
Farington East,E05005337
Farington West,E05005338
Golden Hill,E05005339
Howick and Priory,E05005340
Kingsfold,E05005341
Leyland Central,E05005342
Leyland St. Ambrose,E05005343
Leyland St. Mary's,E05005344
Little Hoole and Much Hoole,E05005345
Longton and Hutton West,E05005346
Lostock Hall,E05005347
Lowerhouse,E05005348
Middleforth,E05005349
Moss Side,E05005350
New Longton and Hutton East,E05005351
Samlesbury and Walton,E05005352
Seven Stars,E05005353
Tardy Gate,E05005354
Walton-le-Dale,E05005355
Whitefield,E05005356
Ashurst,E05005357
Aughton and Downholland,E05005358
Aughton Park,E05005359
Birch Green,E05005360
Burscough East,E05005361
Burscough West,E05005362
Derby,E05005363
Digmoor,E05005364
Halsall,E05005365
Hesketh-with-Becconsall,E05005366
Knowsley,E05005367
Moorside,E05005368
North Meols,E05005369
Parbold,E05005370
Rufford,E05005371
Scarisbrick,E05005372
Scott,E05005373
Skelmersdale North,E05005374
Skelmersdale South,E05005375
Tanhouse,E05005376
Tarleton,E05005377
Up Holland,E05005378
Wrightington,E05005379
Bickerstaffe,E05005380
Newburgh,E05005381
Bourne,E05005382
Breck,E05005383
Brock,E05005384
Cabus,E05005385
Calder,E05005386
Carleton,E05005387
Catterall,E05005388
Cleveleys Park,E05005389
Garstang,E05005390
Great Eccleston,E05005391
Hambleton and Stalmine-with-Staynall,E05005392
Hardhorn,E05005393
High Cross,E05005394
Jubilee,E05005395
Mount,E05005396
Norcross,E05005397
Park,E05005398
Pharos,E05005399
Pilling,E05005400
Preesall,E05005401
Rossall,E05005402
Staina,E05005403
Tithebarn,E05005404
Victoria,E05005405
Warren,E05005406
Wyresdale,E05005407
Blaby South,E05005408
Cosby with South Whetstone,E05005409
Countesthorpe,E05005410
Croft Hill,E05005411
Ellis,E05005412
Enderby and St. John's,E05005413
Fairestone,E05005414
Forest,E05005415
Millfield,E05005416
Muxloe,E05005417
Narborough and Littlethorpe,E05005418
Normanton,E05005419
North Whetstone,E05005420
Pastures,E05005421
Ravenhurst and Fosse,E05005422
Saxondale,E05005423
Stanton and Flamville,E05005424
Winstanley,E05005425
Anstey,E05005426
Barrow and Sileby West,E05005427
Birstall Wanlip,E05005428
Birstall Watermead,E05005429
East Goscote,E05005430
Forest Bradgate,E05005431
Loughborough Ashby,E05005432
Loughborough Dishley and Hathern,E05005433
Loughborough Garendon,E05005434
Loughborough Hastings,E05005435
Loughborough Lemyngton,E05005436
Loughborough Nanpantan,E05005437
Loughborough Outwoods,E05005438
Loughborough Shelthorpe,E05005439
Loughborough Southfields,E05005440
Loughborough Storer,E05005441
Mountsorrel,E05005442
Queniborough,E05005443
Quorn and Mountsorrel Castle,E05005444
Rothley and Thurcaston,E05005445
Shepshed East,E05005446
Shepshed West,E05005447
Sileby,E05005448
Syston East,E05005449
Syston West,E05005450
The Wolds,E05005451
Thurmaston,E05005452
Wreake Villages,E05005453
Billesdon,E05005454
Bosworth,E05005455
Broughton Astley-Astley,E05005456
Broughton Astley-Broughton,E05005457
Broughton Astley-Primethorpe,E05005458
Broughton Astley-Sutton,E05005459
Dunton,E05005460
Fleckney,E05005461
Glen,E05005462
Kibworth,E05005463
Lubenham,E05005464
Lutterworth Brookfield,E05005465
Lutterworth Orchard,E05005466
Lutterworth Springs,E05005467
Lutterworth Swift,E05005468
Market Harborough-Great Bowden and Arden,E05005469
Market Harborough-Little Bowden,E05005470
Market Harborough-Logan,E05005471
Market Harborough-Welland,E05005472
Misterton,E05005473
Nevill,E05005474
Peatling,E05005475
Thurnby and Houghton,E05005476
Tilton,E05005477
Ullesthorpe,E05005478
Ambien,E05005479
"Barlestone, Nailstone and Osbaston Ward",E05005480
Barwell,E05005481
Burbage St. Catherines and Lash Hill,E05005482
Burbage Sketchley and Stretton,E05005483
"Cadeby, Carlton and Market Bosworth with Shackerstone Ward",E05005484
Earl Shilton,E05005485
Groby,E05005486
Hinckley Castle,E05005487
Hinckley Clarendon,E05005488
Hinckley De Montfort,E05005489
Hinckley Trinity,E05005490
"Markfield, Stanton and Fieldhead Ward",E05005491
Newbold Verdon with Desford and Peckleton,E05005492
"Ratby, Bagworth and Thornton Ward",E05005493
Twycross and Witherley with Sheepy,E05005494
Asfordby,E05005495
Bottesford,E05005496
Croxton Kerrial,E05005497
Frisby-on-the-Wreake,E05005498
Gaddesby,E05005499
Long Clawson and Stathern,E05005500
Melton Craven,E05005501
Melton Dorian,E05005502
Melton Egerton,E05005503
Melton Newport,E05005504
Melton Sysonby,E05005505
Melton Warwick,E05005506
Old Dalby,E05005507
Somerby,E05005508
Waltham-on-the-Wolds,E05005509
Wymondham,E05005510
Appleby,E05005511
Ashby Castle,E05005512
Ashby Holywell,E05005513
Ashby Ivanhoe,E05005514
Bardon,E05005515
Breedon,E05005516
Castle Donington,E05005517
Coalville,E05005518
Greenhill,E05005519
Hugglescote,E05005520
Ibstock and Heather,E05005521
Kegworth and Whatton,E05005522
Measham,E05005523
Moira,E05005524
Oakthorpe and Donisthorpe,E05005525
Ravenstone and Packington,E05005526
Snibston,E05005527
Thringstone,E05005528
Valley,E05005529
Whitwick,E05005530
Oadby Brocks Hill,E05005531
Oadby Grange,E05005532
Oadby St. Peter's,E05005533
Oadby Uplands,E05005534
Oadby Woodlands,E05005535
South Wigston,E05005536
Wigston All Saints,E05005537
Wigston Fields,E05005538
Wigston Meadowcourt,E05005539
Wigston St. Wolstan's,E05005540
Central,E05005541
Coastal,E05005542
Fenside,E05005543
Fishtoft,E05005544
Five Village,E05005545
Frampton and Holme,E05005546
Kirton,E05005547
North,E05005548
Old Leake and Wrangle,E05005549
Pilgrim,E05005550
Skirbeck,E05005551
South,E05005552
Staniland South,E05005553
Staniland North,E05005554
Swineshead and Holland Fen,E05005555
West,E05005556
Witham,E05005557
Wyberton,E05005558
Alford,E05005559
Binbrook,E05005560
Burgh Le Marsh,E05005561
Chapel St. Leonards,E05005562
Coningsby and Tattershall,E05005563
Croft,E05005564
Frithville,E05005565
Grimoldby,E05005566
Halton Holegate,E05005567
Holton Le Clay,E05005568
Horncastle,E05005569
Hundleby,E05005570
Ingoldmells,E05005571
Legbourne,E05005572
Ludford,E05005573
Mablethorpe Central,E05005574
Mablethorpe East,E05005575
Mablethorpe North,E05005576
Mareham Le Fen,E05005577
Marshchapel,E05005578
North Holme,E05005579
North Somercotes,E05005580
North Thoresby,E05005581
Priory,E05005582
Roughton,E05005583
St. Clement's,E05005584
St. James',E05005585
St. Margaret's,E05005586
St. Mary's,E05005587
St. Michael's,E05005588
Scarbrough,E05005589
Seacroft,E05005590
Sibsey,E05005591
Skidbrooke with Saltfleet Haven,E05005592
Spilsby,E05005593
Stickney,E05005594
Sutton on Sea North,E05005595
Sutton on Sea South,E05005596
Tetford,E05005597
Tetney,E05005598
Trinity,E05005599
Trusthorpe and Mablethorpe South,E05005600
Wainfleet and Friskney,E05005601
Willoughby with Sloothby,E05005602
Winthorpe,E05005603
Withern with Stain,E05005604
Woodhall Spa,E05005605
Wragby,E05005606
Abbey,E05005607
Birchwood,E05005608
Boultham,E05005609
Bracebridge,E05005610
Carholme,E05005611
Castle,E05005612
Glebe,E05005613
Hartsholme,E05005614
Minster,E05005615
Moorland,E05005616
Park,E05005617
Ashby de la Launde and Cranwell,E05005618
Bassingham and Brant Broughton,E05005619
"Billinghay, Martin and North Kyme Ward",E05005620
Bracebridge Heath and Waddington East,E05005621
Branston,E05005622
Cliff Villages,E05005623
"Eagle, Swinderby and Witham St. Hughs Ward",E05005624
Heckington Rural,E05005625
Heighington and Washingborough,E05005626
Kirkby la Thorpe and South Kyme,E05005627
Leasingham and Rauceby,E05005628
Metheringham,E05005629
North Hykeham Forum,E05005630
North Hykeham Memorial,E05005631
North Hykeham Mill,E05005632
North Hykeham Moor,E05005633
North Hykeham Witham,E05005634
Osbournby,E05005635
Ruskington,E05005636
Skellingthorpe,E05005637
Sleaford Castle,E05005638
Sleaford Holdingham,E05005639
Sleaford Navigation,E05005640
Sleaford Quarrington and Mareham,E05005641
Sleaford Westholme,E05005642
Waddington West,E05005643
Crowland and Deeping St. Nicholas,E05005644
"Donington, Quadring and Gosberton Ward",E05005645
Fleet,E05005646
Gedney,E05005647
Holbeach Hurn,E05005648
Holbeach Town,E05005649
Long Sutton,E05005650
"Moulton, Weston and Cowbit Ward",E05005651
Pinchbeck and Surfleet,E05005652
Spalding Castle,E05005653
Spalding Monks House,E05005654
Spalding St. John's,E05005655
Spalding St. Mary's,E05005656
Spalding St. Paul's,E05005657
Spalding Wygate,E05005658
Sutton Bridge,E05005659
The Saints,E05005660
Whaplode and Holbeach St. John's,E05005661
All Saints,E05005662
Aveland,E05005663
Barrowby,E05005664
Belmont,E05005665
Bourne East,E05005666
Bourne West,E05005667
Deeping St. James,E05005668
Earlesfield,E05005669
Ermine,E05005670
Forest,E05005671
Glen Eden,E05005672
Grantham St. John's,E05005673
Green Hill,E05005674
Greyfriars,E05005675
Harrowby,E05005676
Heath,E05005677
Hillsides,E05005678
Isaac Newton,E05005679
Lincrest,E05005680
Loveden,E05005681
Market and West Deeping,E05005682
Morkery,E05005683
Peascliffe,E05005684
Ringstone,E05005685
St. Anne's,E05005686
St. George's,E05005687
St. Mary's,E05005688
St. Wulfram's,E05005689
Saxonwell,E05005690
Stamford St. John's,E05005691
Thurlby,E05005692
Toller,E05005693
Truesdale,E05005694
Witham Valley,E05005695
Bardney,E05005696
Caistor,E05005697
Cherry Willingham,E05005698
Dunholme,E05005699
Fiskerton,E05005700
Gainsborough East,E05005701
Gainsborough North,E05005702
Gainsborough South-West,E05005703
Hemswell,E05005704
Kelsey,E05005705
Lea,E05005706
Market Rasen,E05005707
Middle Rasen,E05005708
Nettleham,E05005709
Saxilby,E05005710
Scampton,E05005711
Scotter,E05005712
Stow,E05005713
Sudbrooke,E05005714
Thonock,E05005715
Torksey,E05005716
Waddingham and Spital,E05005717
Welton,E05005718
Wold View,E05005719
Yarborough,E05005720
All Saints,E05005721
Buckenham,E05005722
Burgh and Haverscroft,E05005723
Conifer,E05005724
Dereham-Central,E05005725
Dereham-Humbletoft,E05005726
Dereham-Neatherd,E05005727
Dereham-Toftwood,E05005728
East Guiltcross,E05005729
Eynsford,E05005730
Haggard De Toni,E05005731
Harling and Heathlands,E05005732
Hermitage,E05005733
Launditch,E05005734
Mid Forest,E05005735
Nar Valley,E05005736
Necton,E05005737
Queen's,E05005738
Shipdham,E05005739
Springvale and Scarning,E05005740
Swaffham,E05005741
Swanton Morley,E05005742
Taverner,E05005743
Templar,E05005744
Thetford-Abbey,E05005745
Thetford-Castle,E05005746
Thetford-Guildhall,E05005747
Thetford-Saxon,E05005748
Two Rivers,E05005749
Upper Wensum,E05005750
Upper Yare,E05005751
Watton,E05005752
Wayland,E05005753
Weeting,E05005754
West Guiltcross,E05005755
Wissey,E05005756
Acle,E05005757
Aylsham,E05005758
Blofield with South Walsham,E05005759
Brundall,E05005760
Burlingham,E05005761
Buxton,E05005762
Coltishall,E05005763
Drayton North,E05005764
Drayton South,E05005765
Eynesford,E05005766
Great Witchingham,E05005767
Hellesdon North West,E05005768
Hellesdon South East,E05005769
Hevingham,E05005770
Horsford and Felthorpe,E05005771
Marshes,E05005772
Old Catton and Sprowston West,E05005773
Plumstead,E05005774
Reepham,E05005775
Spixworth with St. Faiths,E05005776
Sprowston Central,E05005777
Sprowston East,E05005778
Taverham North,E05005779
Taverham South,E05005780
Thorpe St. Andrew North West,E05005781
Thorpe St. Andrew South East Ward (DET),E05005782
Thorpe St. Andrew South East,E05005782
Wroxham,E05005783
Bradwell North,E05005784
Bradwell South and Hopton,E05005785
Caister North,E05005786
Caister South,E05005787
Central And Northgate,E05005788
Claydon,E05005789
East Flegg,E05005790
Fleggburgh,E05005791
Gorleston,E05005792
Lothingland,E05005793
Magdalen,E05005794
Nelson,E05005795
Ormesby,E05005796
St. Andrews,E05005797
Southtown and Cobholm,E05005798
West Flegg,E05005799
Yarmouth North,E05005800
Airfield,E05005801
Brancaster,E05005802
Burnham,E05005803
Clenchwarton,E05005804
Denton,E05005805
Dersingham,E05005806
Docking,E05005807
Downham Old Town,E05005808
East Downham,E05005809
Emneth with Outwell,E05005810
Fairstead,E05005811
Gayton,E05005812
Gaywood Chase,E05005813
Gaywood North Bank,E05005814
Grimston,E05005815
Heacham,E05005816
Hilgay with Denver,E05005817
Hunstanton,E05005818
Mershe Lande,E05005819
North Downham,E05005820
North Lynn,E05005821
North Wootton,E05005822
Old Gaywood,E05005823
Priory,E05005824
Rudham,E05005825
St. Lawrence,E05005826
St. Margarets with St. Nicholas,E05005827
Snettisham,E05005828
South and West Lynn,E05005829
South Downham,E05005830
South Wootton,E05005831
Spellowfields,E05005832
Springwood,E05005833
Upwell and Delph,E05005834
Valley Hill,E05005835
Walpole,E05005836
Walton,E05005837
Watlington,E05005838
West Winch,E05005839
Wiggenhall,E05005840
Wimbotsham with Fincham,E05005841
Wissey,E05005842
Astley,E05005843
Briston,E05005844
Corpusty,E05005846
Cromer Town,E05005847
Erpingham,E05005848
Gaunt,E05005849
Glaven Valley,E05005850
Happisburgh,E05005851
High Heath,E05005852
Holt,E05005853
Hoveton,E05005854
Lancaster North,E05005855
Lancaster South,E05005856
Mundesley,E05005857
North Walsham East,E05005858
North Walsham North,E05005859
North Walsham West,E05005860
Poppyland,E05005861
Priory,E05005862
